temporada,sitio_type,sitio_id,hora,NDVI,dia,BI,ACI,cantos,Luz,Temp
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,1,5.69100647,1527.72978,0,0,22.95
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,2,8.981571832,1395.676522,0,0,21.83
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,3,6.616585663,1412.897156,0,0,22.39
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,4,7.461560893,1398.581518,0,0,24.32
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,5,NA,1394.25686,NA,0,26.36
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,6,1.764095452,1382.966157,0,0,22.52
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,7,7.955645774,1481.412602,0,0,24.49
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,8,4.323634078,1580.432224,0,0,22.56
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,9,7.465484695,1437.225287,0,0,22.18
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,10,5.9831259,1450.068736,0,0,22.26
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,11,7.271277285,NA,0,0,22.43
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,12,7.225571608,1386.976251,0,0,21.92
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,13,6.355748349,1389.606116,0,0,22.61
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,14,7.466075294,2953.462194,0,0,24.11
1-june-july,Barranca,Barranca 1,04:30:00,0.317215651,15,8.270927111,1467.977832,0,0,22.48
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,1,7.03194105,1493.332585,0,0,22.91
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,2,8.854631526,1393.714937,0,0,21.88
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,3,7.224048331,1407.905363,0,0,22.39
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,4,7.396196178,1376.899365,1,0,24.28
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,5,NA,1388.971046,NA,0,23.34
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,6,2.317754007,1383.015382,0,0,22.52
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,7,7.536022237,1437.410547,0,0,24.45
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,8,3.823166597,1591.561591,0,0,22.26
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,9,7.320987274,1409.496036,0,0,22.18
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,10,5.652564459,1454.873333,0,0,22.22
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,11,6.838021188,NA,0,0,22.43
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,12,6.120564461,1385.005857,0,0,21.92
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,13,6.017012151,1381.084184,0,0,22.56
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,14,7.111651703,3166.500326,0,0,24.06
1-june-july,Barranca,Barranca 1,04:35:00,0.317215651,15,7.012143206,1473.552924,0,0,22.65
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,1,7.20506937,1494.24875,0,0,22.82
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,2,8.894341968,1392.05087,0,0,21.79
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,3,6.964786469,1411.018267,0,0,22.39
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,4,6.799508947,1375.178771,0,0,24.28
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,5,NA,1391.571026,NA,0,23.25
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,6,1.565249464,1387.274755,0,0,22.52
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,7,7.662207396,1533.678552,0,0,24.41
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,8,4.147154425,1589.923147,0,0,22.18
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,9,6.985212245,1420.685133,0,0,22.13
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,10,5.376696171,1394.103538,0,0,22.26
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,11,6.768879634,NA,0,0,22.43
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,12,6.121306101,1391.1477,0,0,21.88
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,13,6.10789715,1386.954944,0,0,22.56
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,14,7.097113774,2926.929564,0,0,24.06
1-june-july,Barranca,Barranca 1,04:40:00,0.317215651,15,8.459764746,1457.497035,0,0,22.39
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,1,7.898424697,1473.060539,0,0,22.78
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,2,8.471636826,1393.241543,0,0,21.88
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,3,6.089193177,1407.730313,0,0,22.39
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,4,6.73614946,1398.782246,0,0,24.24
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,5,NA,1387.876924,NA,0,23.25
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,6,1.902060819,1385.364367,0,0,22.52
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,7,7.415748908,1600.610204,0,0,24.28
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,8,4.173309666,1590.291941,0,0,22.18
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,9,6.744128237,1410.124042,0,0,22.13
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,10,5.49008036,1405.877129,0,0,22.22
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,11,6.076333992,NA,0,0,22.43
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,12,6.221212882,1384.926214,0,0,21.79
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,13,6.156730642,1387.309605,0,0,22.39
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,14,6.965483173,3021.986555,0,0,23.98
1-june-july,Barranca,Barranca 1,04:45:00,0.317215651,15,6.761363008,1473.268761,0,0,22.39
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,1,8.607614057,1456.959247,0,0,22.86
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,2,8.757700569,1401.570885,0,0,21.88
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,3,6.390749856,1402.078487,3,0,22.35
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,4,7.41534739,1403.668898,0,0,24.24
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,5,NA,1380.40264,NA,0,23.29
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,6,1.80310756,1391.355285,0,0,22.52
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,7,7.575572976,1437.031929,0,0,24.28
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,8,3.78626377,1594.787895,0,0,21.92
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,9,8.862688106,1420.795027,0,0,22.13
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,10,5.553601742,1371.433668,0,0,22.26
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,11,5.912796309,NA,0,0,22.39
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,12,6.06592181,1388.326352,0,0,21.79
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,13,5.977179955,1413.107852,0,0,22.43
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,14,6.880431662,3014.968591,0,0,23.98
1-june-july,Barranca,Barranca 1,04:50:00,0.317215651,15,6.14337522,1474.777799,0,0,22.39
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,1,6.987258068,1481.320354,0,0,22.78
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,2,8.046155601,1399.379293,0,0,21.79
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,3,7.040974973,1402.443091,1,0,22.35
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,4,7.752012904,1402.799308,0,0,24.28
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,5,NA,1382.219407,NA,0,23.21
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,6,2.24743728,1384.677204,0,0,22.48
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,7,7.05594781,1414.252362,0,0,24.19
1-june-july,Barranca,Barranca 1,04:55:00,0.317215651,8,4.054838728,1599.854368,0,0,21.83
